presence	pair	from	to	edge	caller	provider	verb	path	conjunct	leg	component	severity	rule	violation_path	old	new	state	collided	evidence	caller_changed	provider_changed
declared	P01	1.30.0	1.30.1	orca-kayenta/2	orca	kayenta	POST	/canary/{canaryConfigId}	C1	request	body	WARN	format-change	$.body.thresholds.marginal	integer(int32)	number(double)	live	no	no	yes	yes
declared	P01	1.30.0	1.30.1	orca-kayenta/2	orca	kayenta	POST	/canary/{canaryConfigId}	C1	request	body	WARN	format-change	$.body.thresholds.pass	integer(int32)	number(double)	live	no	no	yes	yes
declared	P01	1.30.0	1.30.1	orca-kayenta/2	orca	kayenta	POST	/canary/{canaryConfigId}	C2	request	body	WARN	format-change	$.body.thresholds.marginal	number(double)	integer(int32)	live	no	no	yes	yes
declared	P01	1.30.0	1.30.1	orca-kayenta/2	orca	kayenta	POST	/canary/{canaryConfigId}	C2	request	body	WARN	format-change	$.body.thresholds.pass	number(double)	integer(int32)	live	no	no	yes	yes
declared	P01	1.30.0	1.30.1	orca-kayenta/2	orca	kayenta	POST	/canary/{canaryConfigId}	TGT	request	body	WARN	format-change	$.body.thresholds.marginal	integer(int32)	number(double)	live	no	no	yes	yes
declared	P01	1.30.0	1.30.1	orca-kayenta/2	orca	kayenta	POST	/canary/{canaryConfigId}	TGT	request	body	WARN	format-change	$.body.thresholds.pass	integer(int32)	number(double)	live	no	no	yes	yes
declared	P02	1.30.1	1.30.2	orca-kayenta/2	orca	kayenta	POST	/canary/{canaryConfigId}	C1	request	body	WARN	format-change	$.body.thresholds.marginal	integer(int32)	number(double)	live	no	no	yes	yes
declared	P02	1.30.1	1.30.2	orca-kayenta/2	orca	kayenta	POST	/canary/{canaryConfigId}	C1	request	body	WARN	format-change	$.body.thresholds.pass	integer(int32)	number(double)	live	no	no	yes	yes
declared	P02	1.30.1	1.30.2	orca-kayenta/2	orca	kayenta	POST	/canary/{canaryConfigId}	C2	request	body	WARN	format-change	$.body.thresholds.marginal	number(double)	integer(int32)	live	no	no	yes	yes
declared	P02	1.30.1	1.30.2	orca-kayenta/2	orca	kayenta	POST	/canary/{canaryConfigId}	C2	request	body	WARN	format-change	$.body.thresholds.pass	number(double)	integer(int32)	live	no	no	yes	yes
declared	P02	1.30.1	1.30.2	orca-kayenta/2	orca	kayenta	POST	/canary/{canaryConfigId}	TGT	request	body	WARN	format-change	$.body.thresholds.marginal	integer(int32)	number(double)	live	no	no	yes	yes
declared	P02	1.30.1	1.30.2	orca-kayenta/2	orca	kayenta	POST	/canary/{canaryConfigId}	TGT	request	body	WARN	format-change	$.body.thresholds.pass	integer(int32)	number(double)	live	no	no	yes	yes
declared	P03	1.30.2	1.30.3	orca-kayenta/2	orca	kayenta	POST	/canary/{canaryConfigId}	C1	request	body	WARN	format-change	$.body.thresholds.marginal	integer(int32)	number(double)	live	no	no	yes	yes
declared	P03	1.30.2	1.30.3	orca-kayenta/2	orca	kayenta	POST	/canary/{canaryConfigId}	C1	request	body	WARN	format-change	$.body.thresholds.pass	integer(int32)	number(double)	live	no	no	yes	yes
declared	P03	1.30.2	1.30.3	orca-kayenta/2	orca	kayenta	POST	/canary/{canaryConfigId}	C2	request	body	WARN	format-change	$.body.thresholds.marginal	number(double)	integer(int32)	live	no	no	yes	yes
declared	P03	1.30.2	1.30.3	orca-kayenta/2	orca	kayenta	POST	/canary/{canaryConfigId}	C2	request	body	WARN	format-change	$.body.thresholds.pass	number(double)	integer(int32)	live	no	no	yes	yes
declared	P03	1.30.2	1.30.3	orca-kayenta/2	orca	kayenta	POST	/canary/{canaryConfigId}	TGT	request	body	WARN	format-change	$.body.thresholds.marginal	integer(int32)	number(double)	live	no	no	yes	yes
declared	P03	1.30.2	1.30.3	orca-kayenta/2	orca	kayenta	POST	/canary/{canaryConfigId}	TGT	request	body	WARN	format-change	$.body.thresholds.pass	integer(int32)	number(double)	live	no	no	yes	yes
declared	P04	1.30.3	1.30.4	orca-kayenta/2	orca	kayenta	POST	/canary/{canaryConfigId}	C1	request	body	WARN	format-change	$.body.thresholds.marginal	integer(int32)	number(double)	live	no	no	yes	yes
declared	P04	1.30.3	1.30.4	orca-kayenta/2	orca	kayenta	POST	/canary/{canaryConfigId}	C1	request	body	WARN	format-change	$.body.thresholds.pass	integer(int32)	number(double)	live	no	no	yes	yes
declared	P04	1.30.3	1.30.4	orca-kayenta/2	orca	kayenta	POST	/canary/{canaryConfigId}	C2	request	body	WARN	format-change	$.body.thresholds.marginal	number(double)	integer(int32)	live	no	no	yes	yes
declared	P04	1.30.3	1.30.4	orca-kayenta/2	orca	kayenta	POST	/canary/{canaryConfigId}	C2	request	body	WARN	format-change	$.body.thresholds.pass	number(double)	integer(int32)	live	no	no	yes	yes
declared	P04	1.30.3	1.30.4	orca-kayenta/2	orca	kayenta	POST	/canary/{canaryConfigId}	TGT	request	body	WARN	format-change	$.body.thresholds.marginal	integer(int32)	number(double)	live	no	no	yes	yes
declared	P04	1.30.3	1.30.4	orca-kayenta/2	orca	kayenta	POST	/canary/{canaryConfigId}	TGT	request	body	WARN	format-change	$.body.thresholds.pass	integer(int32)	number(double)	live	no	no	yes	yes
declared	P05	1.30.4	1.30.5	orca-kayenta/2	orca	kayenta	POST	/canary/{canaryConfigId}	C1	request	body	WARN	format-change	$.body.thresholds.marginal	integer(int32)	number(double)	live	no	no	yes	no
declared	P05	1.30.4	1.30.5	orca-kayenta/2	orca	kayenta	POST	/canary/{canaryConfigId}	C1	request	body	WARN	format-change	$.body.thresholds.pass	integer(int32)	number(double)	live	no	no	yes	no
declared	P05	1.30.4	1.30.5	orca-kayenta/2	orca	kayenta	POST	/canary/{canaryConfigId}	C2	request	body	WARN	format-change	$.body.thresholds.marginal	number(double)	integer(int32)	live	no	no	yes	no
declared	P05	1.30.4	1.30.5	orca-kayenta/2	orca	kayenta	POST	/canary/{canaryConfigId}	C2	request	body	WARN	format-change	$.body.thresholds.pass	number(double)	integer(int32)	live	no	no	yes	no
declared	P05	1.30.4	1.30.5	orca-kayenta/2	orca	kayenta	POST	/canary/{canaryConfigId}	TGT	request	body	WARN	format-change	$.body.thresholds.marginal	integer(int32)	number(double)	live	no	no	yes	no
declared	P05	1.30.4	1.30.5	orca-kayenta/2	orca	kayenta	POST	/canary/{canaryConfigId}	TGT	request	body	WARN	format-change	$.body.thresholds.pass	integer(int32)	number(double)	live	no	no	yes	no
declared	P06	1.30.5	1.30.6	orca-kayenta/2	orca	kayenta	POST	/canary/{canaryConfigId}	C1	request	body	WARN	format-change	$.body.thresholds.marginal	integer(int32)	number(double)	live	no	no	no	yes
declared	P06	1.30.5	1.30.6	orca-kayenta/2	orca	kayenta	POST	/canary/{canaryConfigId}	C1	request	body	WARN	format-change	$.body.thresholds.pass	integer(int32)	number(double)	live	no	no	no	yes
declared	P06	1.30.5	1.30.6	orca-kayenta/2	orca	kayenta	POST	/canary/{canaryConfigId}	C2	request	body	WARN	format-change	$.body.thresholds.marginal	number(double)	integer(int32)	live	no	no	no	yes
declared	P06	1.30.5	1.30.6	orca-kayenta/2	orca	kayenta	POST	/canary/{canaryConfigId}	C2	request	body	WARN	format-change	$.body.thresholds.pass	number(double)	integer(int32)	live	no	no	no	yes
declared	P06	1.30.5	1.30.6	orca-kayenta/2	orca	kayenta	POST	/canary/{canaryConfigId}	TGT	request	body	WARN	format-change	$.body.thresholds.marginal	integer(int32)	number(double)	live	no	no	no	yes
declared	P06	1.30.5	1.30.6	orca-kayenta/2	orca	kayenta	POST	/canary/{canaryConfigId}	TGT	request	body	WARN	format-change	$.body.thresholds.pass	integer(int32)	number(double)	live	no	no	no	yes
declared	P07	1.30.6	1.31.0	orca-kayenta/2	orca	kayenta	POST	/canary/{canaryConfigId}	C1	request	body	WARN	format-change	$.body.thresholds.marginal	integer(int32)	number(double)	live	no	no	yes	yes
declared	P07	1.30.6	1.31.0	orca-kayenta/2	orca	kayenta	POST	/canary/{canaryConfigId}	C1	request	body	WARN	format-change	$.body.thresholds.pass	integer(int32)	number(double)	live	no	no	yes	yes
declared	P07	1.30.6	1.31.0	orca-kayenta/2	orca	kayenta	POST	/canary/{canaryConfigId}	C2	request	body	WARN	format-change	$.body.thresholds.marginal	number(double)	integer(int32)	live	no	no	yes	yes
declared	P07	1.30.6	1.31.0	orca-kayenta/2	orca	kayenta	POST	/canary/{canaryConfigId}	C2	request	body	WARN	format-change	$.body.thresholds.pass	number(double)	integer(int32)	live	no	no	yes	yes
declared	P07	1.30.6	1.31.0	orca-kayenta/2	orca	kayenta	POST	/canary/{canaryConfigId}	TGT	request	body	WARN	format-change	$.body.thresholds.marginal	integer(int32)	number(double)	live	no	no	yes	yes
declared	P07	1.30.6	1.31.0	orca-kayenta/2	orca	kayenta	POST	/canary/{canaryConfigId}	TGT	request	body	WARN	format-change	$.body.thresholds.pass	integer(int32)	number(double)	live	no	no	yes	yes
declared	P08	1.31.0	1.31.1	orca-kayenta/2	orca	kayenta	POST	/canary/{canaryConfigId}	C1	request	body	WARN	format-change	$.body.thresholds.marginal	integer(int32)	number(double)	live	no	no	yes	yes
declared	P08	1.31.0	1.31.1	orca-kayenta/2	orca	kayenta	POST	/canary/{canaryConfigId}	C1	request	body	WARN	format-change	$.body.thresholds.pass	integer(int32)	number(double)	live	no	no	yes	yes
declared	P08	1.31.0	1.31.1	orca-kayenta/2	orca	kayenta	POST	/canary/{canaryConfigId}	C2	request	body	WARN	format-change	$.body.thresholds.marginal	number(double)	integer(int32)	live	no	no	yes	yes
declared	P08	1.31.0	1.31.1	orca-kayenta/2	orca	kayenta	POST	/canary/{canaryConfigId}	C2	request	body	WARN	format-change	$.body.thresholds.pass	number(double)	integer(int32)	live	no	no	yes	yes
declared	P08	1.31.0	1.31.1	orca-kayenta/2	orca	kayenta	POST	/canary/{canaryConfigId}	TGT	request	body	WARN	format-change	$.body.thresholds.marginal	integer(int32)	number(double)	live	no	no	yes	yes
declared	P08	1.31.0	1.31.1	orca-kayenta/2	orca	kayenta	POST	/canary/{canaryConfigId}	TGT	request	body	WARN	format-change	$.body.thresholds.pass	integer(int32)	number(double)	live	no	no	yes	yes
declared	P09	1.31.1	1.31.2	orca-kayenta/2	orca	kayenta	POST	/canary/{canaryConfigId}	C1	request	body	WARN	format-change	$.body.thresholds.marginal	integer(int32)	number(double)	live	no	no	no	no
declared	P09	1.31.1	1.31.2	orca-kayenta/2	orca	kayenta	POST	/canary/{canaryConfigId}	C1	request	body	WARN	format-change	$.body.thresholds.pass	integer(int32)	number(double)	live	no	no	no	no
declared	P09	1.31.1	1.31.2	orca-kayenta/2	orca	kayenta	POST	/canary/{canaryConfigId}	C2	request	body	WARN	format-change	$.body.thresholds.marginal	number(double)	integer(int32)	live	no	no	no	no
declared	P09	1.31.1	1.31.2	orca-kayenta/2	orca	kayenta	POST	/canary/{canaryConfigId}	C2	request	body	WARN	format-change	$.body.thresholds.pass	number(double)	integer(int32)	live	no	no	no	no
declared	P09	1.31.1	1.31.2	orca-kayenta/2	orca	kayenta	POST	/canary/{canaryConfigId}	TGT	request	body	WARN	format-change	$.body.thresholds.marginal	integer(int32)	number(double)	live	no	no	no	no
declared	P09	1.31.1	1.31.2	orca-kayenta/2	orca	kayenta	POST	/canary/{canaryConfigId}	TGT	request	body	WARN	format-change	$.body.thresholds.pass	integer(int32)	number(double)	live	no	no	no	no
declared	P10	1.31.2	1.31.3	orca-kayenta/2	orca	kayenta	POST	/canary/{canaryConfigId}	C1	request	body	WARN	format-change	$.body.thresholds.marginal	integer(int32)	number(double)	live	no	no	yes	no
declared	P10	1.31.2	1.31.3	orca-kayenta/2	orca	kayenta	POST	/canary/{canaryConfigId}	C1	request	body	WARN	format-change	$.body.thresholds.pass	integer(int32)	number(double)	live	no	no	yes	no
declared	P10	1.31.2	1.31.3	orca-kayenta/2	orca	kayenta	POST	/canary/{canaryConfigId}	C2	request	body	WARN	format-change	$.body.thresholds.marginal	number(double)	integer(int32)	live	no	no	yes	no
declared	P10	1.31.2	1.31.3	orca-kayenta/2	orca	kayenta	POST	/canary/{canaryConfigId}	C2	request	body	WARN	format-change	$.body.thresholds.pass	number(double)	integer(int32)	live	no	no	yes	no
declared	P10	1.31.2	1.31.3	orca-kayenta/2	orca	kayenta	POST	/canary/{canaryConfigId}	TGT	request	body	WARN	format-change	$.body.thresholds.marginal	integer(int32)	number(double)	live	no	no	yes	no
declared	P10	1.31.2	1.31.3	orca-kayenta/2	orca	kayenta	POST	/canary/{canaryConfigId}	TGT	request	body	WARN	format-change	$.body.thresholds.pass	integer(int32)	number(double)	live	no	no	yes	no
declared	P11	1.31.3	1.32.0	orca-kayenta/2	orca	kayenta	POST	/canary/{canaryConfigId}	C1	request	body	WARN	format-change	$.body.thresholds.marginal	integer(int32)	number(double)	live	no	no	yes	yes
declared	P11	1.31.3	1.32.0	orca-kayenta/2	orca	kayenta	POST	/canary/{canaryConfigId}	C1	request	body	WARN	format-change	$.body.thresholds.pass	integer(int32)	number(double)	live	no	no	yes	yes
declared	P11	1.31.3	1.32.0	orca-kayenta/2	orca	kayenta	POST	/canary/{canaryConfigId}	C2	request	body	WARN	format-change	$.body.thresholds.marginal	number(double)	integer(int32)	live	no	no	yes	yes
declared	P11	1.31.3	1.32.0	orca-kayenta/2	orca	kayenta	POST	/canary/{canaryConfigId}	C2	request	body	WARN	format-change	$.body.thresholds.pass	number(double)	integer(int32)	live	no	no	yes	yes
declared	P11	1.31.3	1.32.0	orca-kayenta/2	orca	kayenta	POST	/canary/{canaryConfigId}	TGT	request	body	WARN	format-change	$.body.thresholds.marginal	integer(int32)	number(double)	live	no	no	yes	yes
declared	P11	1.31.3	1.32.0	orca-kayenta/2	orca	kayenta	POST	/canary/{canaryConfigId}	TGT	request	body	WARN	format-change	$.body.thresholds.pass	integer(int32)	number(double)	live	no	no	yes	yes
declared	P12	1.32.0	1.32.1	orca-kayenta/2	orca	kayenta	POST	/canary/{canaryConfigId}	C1	request	body	WARN	format-change	$.body.thresholds.marginal	integer(int32)	number(double)	live	no	no	no	no
declared	P12	1.32.0	1.32.1	orca-kayenta/2	orca	kayenta	POST	/canary/{canaryConfigId}	C1	request	body	WARN	format-change	$.body.thresholds.pass	integer(int32)	number(double)	live	no	no	no	no
declared	P12	1.32.0	1.32.1	orca-kayenta/2	orca	kayenta	POST	/canary/{canaryConfigId}	C2	request	body	WARN	format-change	$.body.thresholds.marginal	number(double)	integer(int32)	live	no	no	no	no
declared	P12	1.32.0	1.32.1	orca-kayenta/2	orca	kayenta	POST	/canary/{canaryConfigId}	C2	request	body	WARN	format-change	$.body.thresholds.pass	number(double)	integer(int32)	live	no	no	no	no
declared	P12	1.32.0	1.32.1	orca-kayenta/2	orca	kayenta	POST	/canary/{canaryConfigId}	TGT	request	body	WARN	format-change	$.body.thresholds.marginal	integer(int32)	number(double)	live	no	no	no	no
declared	P12	1.32.0	1.32.1	orca-kayenta/2	orca	kayenta	POST	/canary/{canaryConfigId}	TGT	request	body	WARN	format-change	$.body.thresholds.pass	integer(int32)	number(double)	live	no	no	no	no
declared	P13	1.32.1	1.32.2	orca-kayenta/2	orca	kayenta	POST	/canary/{canaryConfigId}	C1	request	body	WARN	format-change	$.body.thresholds.marginal	integer(int32)	number(double)	live	no	no	no	no
declared	P13	1.32.1	1.32.2	orca-kayenta/2	orca	kayenta	POST	/canary/{canaryConfigId}	C1	request	body	WARN	format-change	$.body.thresholds.pass	integer(int32)	number(double)	live	no	no	no	no
declared	P13	1.32.1	1.32.2	orca-kayenta/2	orca	kayenta	POST	/canary/{canaryConfigId}	C2	request	body	WARN	format-change	$.body.thresholds.marginal	number(double)	integer(int32)	live	no	no	no	no
declared	P13	1.32.1	1.32.2	orca-kayenta/2	orca	kayenta	POST	/canary/{canaryConfigId}	C2	request	body	WARN	format-change	$.body.thresholds.pass	number(double)	integer(int32)	live	no	no	no	no
declared	P13	1.32.1	1.32.2	orca-kayenta/2	orca	kayenta	POST	/canary/{canaryConfigId}	TGT	request	body	WARN	format-change	$.body.thresholds.marginal	integer(int32)	number(double)	live	no	no	no	no
declared	P13	1.32.1	1.32.2	orca-kayenta/2	orca	kayenta	POST	/canary/{canaryConfigId}	TGT	request	body	WARN	format-change	$.body.thresholds.pass	integer(int32)	number(double)	live	no	no	no	no
declared	P14	1.32.2	1.32.3	orca-kayenta/2	orca	kayenta	POST	/canary/{canaryConfigId}	C1	request	body	WARN	format-change	$.body.thresholds.marginal	integer(int32)	number(double)	live	no	no	yes	no
declared	P14	1.32.2	1.32.3	orca-kayenta/2	orca	kayenta	POST	/canary/{canaryConfigId}	C1	request	body	WARN	format-change	$.body.thresholds.pass	integer(int32)	number(double)	live	no	no	yes	no
declared	P14	1.32.2	1.32.3	orca-kayenta/2	orca	kayenta	POST	/canary/{canaryConfigId}	C2	request	body	WARN	format-change	$.body.thresholds.marginal	number(double)	integer(int32)	live	no	no	yes	no
declared	P14	1.32.2	1.32.3	orca-kayenta/2	orca	kayenta	POST	/canary/{canaryConfigId}	C2	request	body	WARN	format-change	$.body.thresholds.pass	number(double)	integer(int32)	live	no	no	yes	no
declared	P14	1.32.2	1.32.3	orca-kayenta/2	orca	kayenta	POST	/canary/{canaryConfigId}	TGT	request	body	WARN	format-change	$.body.thresholds.marginal	integer(int32)	number(double)	live	no	no	yes	no
declared	P14	1.32.2	1.32.3	orca-kayenta/2	orca	kayenta	POST	/canary/{canaryConfigId}	TGT	request	body	WARN	format-change	$.body.thresholds.pass	integer(int32)	number(double)	live	no	no	yes	no
declared	P15	1.32.3	1.32.4	orca-kayenta/2	orca	kayenta	POST	/canary/{canaryConfigId}	C1	request	body	WARN	format-change	$.body.thresholds.marginal	integer(int32)	number(double)	live	no	no	yes	yes
declared	P15	1.32.3	1.32.4	orca-kayenta/2	orca	kayenta	POST	/canary/{canaryConfigId}	C1	request	body	WARN	format-change	$.body.thresholds.pass	integer(int32)	number(double)	live	no	no	yes	yes
declared	P15	1.32.3	1.32.4	orca-kayenta/2	orca	kayenta	POST	/canary/{canaryConfigId}	C2	request	body	WARN	format-change	$.body.thresholds.marginal	number(double)	integer(int32)	live	no	no	yes	yes
